date,series,holiday_trend_factor,series_seasonal_trend_factor,white_noise,weekend_trend_factor,total_factor,value,day_of_year
2019-01-01,s_3,1.5,0.6045289639070639,0.9820994097644753,1.0,1.7811226159159717,178.11226159159716,1
2019-01-01,s_2,1.5,0.703396722930298,1.0049070637350348,1.0,1.0602725032210973,106.02725032210974,1
2019-01-01,s_1,1.5,0.802264481953532,1.004204698197736,1.0,0.6042283214811822,60.422832148118225,1
2019-01-02,s_3,1.5000000000000002,0.6035543744026182,0.967707201828271,1.0,1.752191744413111,175.2191744413111,2
2019-01-02,s_2,1.5000000000000002,0.7026657808019636,1.0507509621090936,1.0,1.1074901178282013,110.74901178282013,2
2019-01-02,s_1,1.5000000000000002,0.8017771872013091,1.068501443295849,1.0,0.6425250612947138,64.25250612947137,2
2019-01-03,s_3,1.44721776669352,0.6026972602930343,1.0481211686137097,1.0,1.8284142224519775,182.84142224519775,3
2019-01-03,s_2,1.44721776669352,0.7020229452197757,1.059896527374076,1.0,1.07683375755883,107.683375755883,3
2019-01-03,s_1,1.44721776669352,0.8013486301465171,0.97553093424861,1.0,0.5656742818655114,56.56742818655114,3
2019-01-04,s_3,1.401947252736943,0.601957875559721,0.9999424930256722,1.15,1.9408887157233927,194.08887157233926,4
2019-01-04,s_2,1.401947252736943,0.7014684066697907,0.9643654899457186,1.15,1.0906346481996614,109.06346481996614,4
2019-01-04,s_1,1.401947252736943,0.8009789377798605,0.9995342543498476,1.15,0.6453841523364096,64.53841523364096,4
2019-01-05,s_3,1.347913660580818,0.601336439298332,0.9376985884741489,1.3,1.9761331638693005,197.61331638693005,5
2019-01-05,s_2,1.347913660580818,0.7010023294737491,1.1424549059660696,1.3,1.4033433958006643,140.33433958006643,5
2019-01-05,s_1,1.347913660580818,0.800668219649166,0.968208920877669,1.3,0.6791991002485674,67.91991002485675,5
2019-01-06,s_3,1.2811846030405012,0.6008331356538431,0.9951319377261081,1.3,1.9916801693480162,199.1680169348016,6
2019-01-06,s_2,1.2811846030405012,0.7006248517403824,0.9786595707227106,1.3,1.1420161582425221,114.20161582425222,6
2019-01-06,s_1,1.2811846030405012,0.8004165678269215,0.9326502635640432,1.3,0.6216700632170027,62.16700632170027,6
2019-01-07,s_3,1.2051586598702149,0.6004481137659865,0.9796402882899531,1.0,1.4178044783091002,141.78044783091002,7
2019-01-07,s_2,1.2051586598702149,0.70033608532449,1.0272771530075313,1.0,0.8670384542957009,86.7038454295701,7
2019-01-07,s_1,1.2051586598702149,0.8002240568829933,1.0703936350321377,1.0,0.5161421795267177,51.61421795267177,7
2019-01-08,s_3,1.130125259222644,0.6001814877250571,0.950968881788624,1.0,1.2900468396340572,129.0046839634057,8
2019-01-08,s_2,1.130125259222644,0.7001361157937929,1.01773445129379,1.0,0.8052737433618338,80.52737433618337,8
2019-01-08,s_1,1.130125259222644,0.8000907438625285,0.9909764963603911,1.0,0.4480218412098532,44.80218412098532,8
2019-01-09,s_3,1.069125517245832,0.6000333365381048,1.0118210734996311,1.0,1.2981885987941466,129.81885987941467,9
2019-01-09,s_2,1.069125517245832,0.7000250024035786,1.023701010239758,1.0,0.7661527747067977,76.61527747067977,9
2019-01-09,s_1,1.069125517245832,0.8000166682690524,1.018049421050922,1.0,0.4353781166056401,43.53781166056401,9
2019-01-10,s_3,1.0298483461902586,0.600003704105524,1.129311584591036,1.0,1.3956322171646458,139.56322171646457,10
2019-01-10,s_2,1.0298483461902586,0.7000027780791429,0.9478981693982832,1.0,0.6833366654149795,68.33366654149795,10
2019-01-10,s_1,1.0298483461902586,0.800001852052762,0.85669715119976,1.0,0.3529080747431682,35.29080747431682,10
2019-01-11,s_3,1.0080274566499516,0.6000925992080437,1.058668892249964,1.15,1.4729181723770597,147.29181723770597,11
2019-01-11,s_2,1.0080274566499516,0.7000694494060328,1.0185018018658225,1.15,0.8265576111335827,82.65576111335827,11
2019-01-11,s_1,1.0080274566499516,0.8000462996040218,0.996889765259548,1.15,0.46227718964732445,46.227718964732446,11
2019-01-12,s_3,1.0,0.6002999955041266,0.9903231810426755,1.3,1.5456766029316313,154.56766029316313,12
2019-01-12,s_2,1.0,0.7002249966280949,1.017578203050904,1.3,0.9262938019401847,92.62938019401847,12
2019-01-12,s_1,1.0,0.8001499977520633,1.0101516631538445,1.3,0.5253773531511646,52.537735315116464,12
2019-01-13,s_3,1.0,0.6006258315377743,1.008734865742284,1.3,1.5752677655977716,157.52677655977715,13
2019-01-13,s_2,1.0,0.7004693736533307,1.042113224730738,1.3,0.9489589171438907,94.89589171438907,13
2019-01-13,s_1,1.0,0.8003129157688871,0.9867280947534595,1.3,0.5132993050790929,51.329930507909296,13
2019-01-14,s_3,1.0,0.6010700107567377,0.9762959282225278,1.0,1.173644408156948,117.36444081569479,14
2019-01-14,s_2,1.0,0.7008025080675533,0.9977114959877197,1.0,0.6991987187160246,69.91987187160245,14
2019-01-14,s_1,1.0,0.8005350053783689,1.0164430181468207,1.0,0.4068491084994853,40.68491084994853,14
2019-01-15,s_3,1.0,0.6016324015411283,1.025619326048228,1.0,1.2340916363947778,123.40916363947778,15
2019-01-15,s_2,1.0,0.7012243011558463,0.9916800304536308,1.0,0.6953901363250556,69.53901363250556,15
2019-01-15,s_1,1.0,0.8008162007705641,1.0229862739999982,1.0,0.40961199069255694,40.96119906925569,15
2019-01-16,s_3,1.0,0.6023128372424191,1.030586165140944,1.0,1.2414705542976525,124.14705542976525,16
2019-01-16,s_2,1.0,0.7017346279318144,1.0075256711427896,1.0,0.707015651971137,70.70156519711371,16
2019-01-16,s_1,1.0,0.8011564186212096,1.0185053691139405,1.0,0.40799105693289883,40.79910569328988,16
2019-01-17,s_3,1.0,0.6031111162328271,0.9941526522430015,1.0,1.1991690316002044,119.91690316002044,17
2019-01-17,s_2,1.0,0.7023333371746203,1.0210159988253351,1.0,0.7170935737636759,71.70935737636759,17
2019-01-17,s_1,1.0,0.8015555581164135,0.981078572453752,1.0,0.3931944913496107,39.31944913496107,17
2019-01-18,s_3,1.0,0.6040270019650588,0.9691793012525621,1.15,1.3464440757150038,134.64440757150038,18
2019-01-18,s_2,1.0,0.7030202514737941,1.0275402004622112,1.15,0.8307388056476328,83.07388056476329,18
2019-01-18,s_1,1.0,0.8020135009825293,0.924283119952108,1.15,0.42624033603581096,42.6240336035811,18
2019-01-19,s_3,1.0,0.6050602230424054,1.009212096426046,1.3,1.587648650017656,158.7648650017656,19
2019-01-19,s_2,1.0,0.7037951672818041,1.07365640099952,1.3,0.9823244422480281,98.2324442248028,19
2019-01-19,s_1,1.0,0.8025301115212027,1.0009250133175744,1.3,0.5221271006653743,52.212710066537426,19
2019-01-20,s_3,1.0,0.6062104732991631,0.9098942310675366,1.3,1.4341272724158365,143.41272724158364,20
2019-01-20,s_2,1.0,0.7046578549743723,0.9577124424579369,1.3,0.8773174740000799,87.73174740000799,20
2019-01-20,s_1,1.0,0.8031052366495816,0.9816519269062396,1.3,0.5124403719926096,51.24403719926096,20
2019-01-21,s_3,1.0,0.6074774118913562,1.0557148683045992,1.0,1.2826458717858036,128.26458717858037,21
2019-01-21,s_2,1.0,0.7056080589185172,1.0163680419639456,1.0,0.7171574812369936,71.71574812369937,21
2019-01-21,s_1,1.0,0.8037387059456781,0.9078832719133691,1.0,0.36485046305868973,36.48504630586898,21
2019-01-22,s_3,1.0,0.6088606633977374,1.0076427360632585,1.0,1.2270280494947734,122.70280494947734,22
2019-01-22,s_2,1.0,0.706645497548303,0.9855591271399787,1.0,0.6964409197611015,69.64409197611015,22
2019-01-22,s_1,1.0,0.8044303316988687,1.004415414028843,1.0,0.40399111233533935,40.39911123353394,22
2019-01-23,s_3,1.0,0.6103598179310317,1.0497812792978103,1.0,1.281488620999234,128.1488620999234,23
2019-01-23,s_2,1.0,0.7077698634482739,1.013653237441614,1.0,0.7174332134479519,71.74332134479519,23
2019-01-23,s_1,1.0,0.8051799089655158,1.0391839564126217,1.0,0.4183650217113697,41.83650217113697,23
