date,s_1,s_2,s_3,holiday,weather
2023-01-01,50.0,150.0,300.0,0,31.852102915108894
2023-01-02,100.0,200.0,350.0,1,13.299608064446533
2023-01-03,100.60933149080901,195.25875769259744,368.2697843277943,0,29.497160805959375
2023-01-04,99.43761336493493,165.80557814968165,351.9792497437617,0,16.390125207441017
2023-01-05,98.06693982662112,176.12020257493361,369.7883921451824,0,16.449676723532757
2023-01-06,99.56785727320135,202.14816358839653,354.96925912549534,1,22.57473234582658
2023-01-07,110.79805927645337,184.80837073204808,407.11151707339275,0,22.844725891695404
2023-01-08,102.9913696056314,181.5608846939619,373.78513683664414,0,20.38551515350892
2023-01-09,93.851995286412,166.735693581942,323.22187649767534,0,6.657119844440434
2023-01-10,100.84596123484465,182.51355789773933,359.60944577051396,1,18.785533605156605
2023-01-11,112.27055536940006,258.05593258186724,450.71507476767164,0,42.784787281884064
2023-01-12,77.89725109602414,186.41276124088674,326.77428603163395,0,-7.840042288020221
2023-01-13,98.17300839283948,229.20789678440423,368.9810527622302,0,28.69740440228413
2023-01-14,105.72026064559303,228.31190198599725,423.5775132733716,0,30.571249333563088
2023-01-15,93.49038345064604,205.90982412666298,379.75365750049355,1,6.416522807138481
2023-01-16,96.33220743011064,214.77363322976,394.37465720350644,0,15.305610865904539
2023-01-17,88.95265274740825,193.38789395359262,330.75362406514057,1,9.992828420566553
2023-01-18,115.45077474767558,239.89462482697382,412.1070162956803,1,38.539653773118786
2023-01-19,120.3664751320029,251.08839428852778,440.6884322683773,1,31.030252667777827
2023-01-20,121.73762548961031,255.01548221308371,445.6749619726977,0,31.514253744647323
2023-01-21,120.98434978696308,253.3295478466848,414.2891946887959,1,21.20647225994795
2023-01-22,133.8045036888617,271.6823855283773,462.48290605337945,0,33.12091949749643
2023-01-23,132.4411484124657,273.3104736769283,454.6999471164591,1,19.91763432937922
2023-01-24,145.0037443450784,288.6119894309366,565.6624451748669,1,33.59157627210558
2023-01-25,141.17526367816447,276.60264537233826,525.3631026446369,1,18.513035758877795
2023-01-26,131.50781164582486,253.50349395540096,526.2260739512143,1,13.207580832865608
2023-01-27,152.06864149479142,295.0392251921695,582.3632538254622,1,38.10950266331943
2023-01-28,144.52121536578738,269.8066741351602,555.0205365162606,1,19.791512393348636
2023-01-29,129.5217057315874,253.65058122413282,500.61022243449474,1,11.012000917575358
2023-01-30,123.65094470004853,240.2413639025968,518.6473491986878,1,10.903661025100277
2023-01-31,106.32589674795162,206.07679979542576,441.3354898147689,0,10.934213269809593
2023-02-01,118.71921221181869,239.60695388506818,471.3089717671098,0,28.44442351029369
2023-02-02,116.89320703957165,226.33750087974153,473.02877969453516,1,19.011371229547844
2023-02-03,144.6148320295742,269.9851038785387,564.146879282813,1,42.97958975997083
2023-02-04,148.61311896880656,268.88204503285374,562.0577707320174,1,31.861781823241206
2023-02-05,145.98279000481207,263.4510131782818,559.557106474295,0,22.571381300939713
2023-02-06,153.35437155799926,284.87875084847025,593.4787763842894,1,34.03897541198283
2023-02-07,134.5271417977169,257.4153782707657,527.2144591177055,0,15.044926635305163
2023-02-08,111.46480755920884,218.23146889215212,445.44464473168676,0,1.4521419584069442
2023-02-09,105.21990097156444,208.71614229145138,378.44394256931685,0,10.1041694242526
2023-02-10,97.8532453102652,239.5829769022239,370.17852782692285,0,21.472078293696025
2023-02-11,104.18929751073338,221.43910272952033,390.6321585749076,0,17.7745852782886
2023-02-12,113.04774825021255,234.92263091758048,417.85238282227743,1,28.244153882574604
2023-02-13,107.8453627271639,207.55099014620063,411.19428319041526,1,18.753862186565307
2023-02-14,104.6485334929308,219.5226468085651,482.4572082396321,1,27.48034725961725
2023-02-15,121.68384141594274,260.5967052331941,519.9946976858422,1,35.0097163056429
2023-02-16,114.1706704666653,249.90788055714512,489.17864995285765,1,18.723041493892286
2023-02-17,113.90539129707265,239.66711468999839,517.6334928472337,0,25.55145288711121
2023-02-18,92.76426624018924,228.32823252391557,416.25905374484523,1,2.4521315942476605
2023-02-19,99.56751499389665,230.72012765415295,462.3849562523723,1,18.76106021259441
2023-02-20,83.0325986889772,204.06172778115786,408.91561785928116,0,7.680418742539786
2023-02-21,96.54472031435091,238.92784954147302,470.2420969573838,1,21.45226777129347
2023-02-22,93.1494315499592,246.28360762294415,439.56151114783574,0,22.35999756677331
2023-02-23,100.79840871958754,253.0206363986586,484.43187332077827,1,22.326763579137946
2023-02-24,100.20793248783728,239.75879097612068,450.4483647702609,0,15.198774102037067
2023-02-25,125.58615054115543,294.65663006180944,522.5868203222051,1,42.98468861734833
2023-02-26,106.99294732562876,241.97563468232823,390.99737619275936,1,7.319784883569318
2023-02-27,97.48479716899617,220.4017192539705,349.9894190517294,0,6.708541728384837
2023-02-28,116.47923602197564,259.4789309443268,440.2392178459679,0,36.54978375736585
2023-03-01,102.00667403136814,224.4142938618082,394.717207946487,0,12.957208694101068
2023-03-02,92.19607364060215,197.99635365806614,365.90891952992723,0,10.553093124635698
2023-03-03,119.50315942065514,247.07760490857692,469.6026818977176,0,43.02911897723113
2023-03-04,118.58200000455182,237.68096193417145,471.85243171555476,0,29.85722716823564
2023-03-05,116.83563724665343,220.77853288817613,453.8777561581146,0,14.055354518617781
2023-03-06,120.04857770138759,206.54889871354607,426.67166230006075,0,22.17507905693561
2023-03-07,130.09100743899836,255.41285660739203,519.9791971554523,1,39.45871284827684
2023-03-08,124.49473682209482,237.07716237048015,498.53165247405735,1,26.916206809508676
2023-03-09,132.92422878692415,255.01710724596526,516.4299478186339,0,32.86148455106442
2023-03-10,133.22498903671277,266.5627711411597,555.2810376134807,1,28.048031787338054
2023-03-11,137.4064030478383,282.457618168085,543.9994844315579,1,29.30253345953541
2023-03-12,135.24206389841137,275.3055511361265,526.2552013400508,1,20.397416959104273
2023-03-13,132.81868323276348,270.0991630395561,554.1769248869707,1,20.113484789762193
2023-03-14,130.93827272511564,251.26888260545311,545.2007499757642,0,22.670503853484536
2023-03-15,142.20220168360206,274.27630186885665,548.2345410016571,1,27.344528074503003
2023-03-16,121.73136462599282,238.18923768070124,499.20080079472496,0,17.166846841673866
2023-03-17,125.71949262809065,256.1556398767954,479.5054880841207,1,21.220539345030048
2023-03-18,116.27924960275682,246.40136671791484,491.14253321649903,1,16.896543840440145
2023-03-19,125.74547543641427,259.97465959339394,505.441046584926,1,21.156848219945292
2023-03-20,95.14641384346474,220.49382732014536,445.18532683237714,0,7.49003669018153
2023-03-21,119.96931013439189,273.22313657784616,578.3751629909749,1,46.059774669595186
2023-03-22,105.20464914327957,220.44731979356675,471.25406622195686,0,12.670598812211239
2023-03-23,111.63352706187253,212.8680113507914,443.0107944862749,1,16.38539275240569
2023-03-24,103.69467373681665,179.057235412022,418.49752270004046,0,11.807356064451975
2023-03-25,109.19569317952136,216.74214767002792,472.10017995628874,1,26.1570874916454
2023-03-26,111.82843295266073,212.61085258989854,471.2604409266273,0,18.039973687576687
2023-03-27,93.1407795635575,197.17579013856883,414.60619601787687,0,10.361924899027821
2023-03-28,113.8564089386268,218.63490280487508,452.3561148734189,1,26.568833662243428
2023-03-29,109.36235150332477,247.0586770337198,461.21566995114927,0,27.91649147922791
2023-03-30,108.46080858326143,234.6431754620215,467.9404484749404,1,19.33123675522733
2023-03-31,106.00904362608564,224.13428973775424,430.8205793664061,1,13.363740486179232
2023-04-01,122.37720879342002,269.75201391296,528.6782958019536,1,41.91066005559718
2023-04-02,127.8739272942253,255.096338241197,523.5948564002416,1,23.40067630525231
2023-04-03,109.16938912867937,232.83657092655469,446.41309049772804,1,7.259310150466762
2023-04-04,128.4032042244718,257.66705253218237,546.9515237272311,1,34.14040461002768
2023-04-05,118.62905681149701,222.04627245122253,485.88432250591296,1,11.442252505874288
